Customer Service Representative, https://www.indeed.com/cmp/New-York-Sports-Club-and-Our-Family-of-Brands-1/salaries/Customer-Service-Representative/New-York-NY?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,15,  $,  hour, hour,  Based on local employers,
Customer Service Advisor, https://www.glassdoor.com/Salary/Foundever-Customer-Service-Advisor-New-York-City-Salaries-EJI_IE11480.0,9_KO10,34_IL.35,48_IM615.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,42000, 66000,  $
Customer Service Representative, https://www.ihire.com/t-customer-service-representative-s-new-york-c-astoria-jobs.html?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, IHire,32000, 73000,  $,  year, year,  Based on local employers
Data Entry Administrative Assistant, https://www.salary.com/research/salary/opening/data-entry-administrative-assistant-salary/vernal-ut?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,36000, 56000,  $,  year, year,  Based on local employers
Mobile Application Tester, https://www.totaljobs.com/salary-checker/average-mobile-application-tester-salary?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Totaljobs,27000,  £,  year, year,  Based on local employers,
Mobile Applications Developer, https://www.salary.com/research/salary/benchmark/mobile-applications-developer-ii-salary?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,81000, 1.3,  $,  year, year,  Based on local employers
Sr. Mobile App Developer, https://www.ambitionbox.com/salaries/optum-salaries/sr-dot-mobile-app-developer?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, AmbitionBox,6, 10,  year, year,  Based on local employers,
Independent Contractor Video Editor, https://www.ziprecruiter.com/Salaries/Independent-Contractor-Video-Editor-Salary?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,18, 49,  $,  hour, hour,  Based on local employers
Video Editor, https://www.indeed.com/cmp/Russell-Tobin-&-Associates---Contract-to-Hire/salaries/Video-Editor/Cupertino-CA?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,54,  $,  hour, hour,  Based on local employers,
Freelance Writer, https://www.ziprecruiter.com/Salaries/Freelance-Writer-Salary-in-New-York-City,NY?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,19, 34,  $,  hour, hour
